Timestamp,Voltage,Type
30-06-2024 12:59,39,Peak
30-06-2024 13:11,36,Low
30-06-2024 13:43,31,Low
30-06-2024 13:43,30,Peak
30-06-2024 14:48,25,Low
30-06-2024 16:56,100,Peak
30-06-2024 19:27,98,Low
30-06-2024 19:27,97,Peak
30-06-2024 20:02,97,Peak
30-06-2024 20:21,96,Low
30-06-2024 21:13,91,Low
30-06-2024 21:13,90,Peak
30-06-2024 21:48,87,Peak
30-06-2024 22:05,86,Low
30-06-2024 22:24,84,Peak
30-06-2024 22:54,77,Low
30-06-2024 23:41,68,Peak
1/7/2024 0:19,60,Low
1/7/2024 1:07,83,Peak
1/7/2024 2:11,73,Peak
1/7/2024 2:22,72,Low
1/7/2024 2:52,65,Peak
1/7/2024 3:18,61,Low
1/7/2024 3:48,55,Low
1/7/2024 3:48,54,Peak
1/7/2024 4:17,49,Peak
1/7/2024 4:27,47,Low
1/7/2024 5:08,43,Low
1/7/2024 10:29,100,Peak
1/7/2024 11:08,97,Low
1/7/2024 11:08,96,Peak
1/7/2024 12:22,94,Low
1/7/2024 12:22,94,Peak
1/7/2024 13:06,86,Peak
1/7/2024 13:30,80,Low
1/7/2024 13:48,74,Peak
1/7/2024 14:09,68,Low
1/7/2024 14:41,60,Low
1/7/2024 14:41,60,Peak
1/7/2024 15:36,46,Low
1/7/2024 16:45,89,Peak
1/7/2024 17:19,79,Low
1/7/2024 17:19,79,Peak
1/7/2024 18:07,64,Peak
1/7/2024 18:12,64,Low
1/7/2024 18:52,52,Low
1/7/2024 18:53,53,Peak
1/7/2024 19:37,44,Low
1/7/2024 19:37,43,Peak
1/7/2024 21:06,34,Low
1/7/2024 21:07,35,Peak
1/7/2024 21:41,32,Low
1/7/2024 21:56,38,Peak
1/7/2024 22:19,61,Low
1/7/2024 23:15,100,Peak
1/7/2024 23:42,95,Low
1/7/2024 23:44,94,Peak
2/7/2024 0:19,90,Low
2/7/2024 0:19,89,Peak
2/7/2024 1:34,73,Low
2/7/2024 1:34,72,Peak
2/7/2024 2:55,58,Low
2/7/2024 3:42,82,Peak
2/7/2024 4:31,71,Low
2/7/2024 4:48,68,Peak
2/7/2024 5:05,63,Low
2/7/2024 5:27,59,Peak
2/7/2024 5:38,57,Low
2/7/2024 5:54,54,Peak
2/7/2024 6:17,49,Low
2/7/2024 6:37,43,Peak
2/7/2024 6:51,41,Low
2/7/2024 7:26,36,Low
2/7/2024 14:07,100,Peak
2/7/2024 15:08,94,Low
2/7/2024 15:08,93,Peak
2/7/2024 15:43,88,Peak
2/7/2024 16:02,85,Low
2/7/2024 16:22,81,Peak
2/7/2024 16:35,79,Low
2/7/2024 17:10,70,Peak
2/7/2024 17:18,68,Low
2/7/2024 17:39,63,Peak
2/7/2024 17:47,62,Low
2/7/2024 18:06,56,Peak
2/7/2024 18:18,53,Low
2/7/2024 18:55,43,Low
2/7/2024 20:03,92,Peak
2/7/2024 20:39,79,Low
2/7/2024 20:39,79,Peak
2/7/2024 21:11,71,Low
2/7/2024 21:11,70,Peak
2/7/2024 21:59,55,Peak
2/7/2024 22:16,49,Low
2/7/2024 22:45,40,Peak
2/7/2024 22:53,39,Low
2/7/2024 23:18,35,Peak
2/7/2024 23:35,33,Low
3/7/2024 0:13,29,Low
3/7/2024 1:41,100,Peak
